2017-07-24 13:43:58 | 1055 | /index.php | query | c5d3ac8fb07843e23ae755e637564d69be7373c8 | 0.041531 | 0.041617 | SELECT * FROM `iwide_core_admin` WHERE `username` = 'huiyuan' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-24 13:43:58 | 1055 | /index.php | query | c5d3ac8fb07843e23ae755e637564d69be7373c8 | 0.031697 | 0.031726 | SHOW COLUMNS FROM `iwide_core_admin` | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-24 13:43:58 | 1055 | /index.php | query | c5d3ac8fb07843e23ae755e637564d69be7373c8 | 0.035399 | 0.035428 | SELECT `role_name`, `role_label` FROM `iwide_core_admin_role` WHERE `role_id` = '1' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-24 13:43:58 | 1055 | /index.php | query | c5d3ac8fb07843e23ae755e637564d69be7373c8 | 0.04349 | 0.043518 | SELECT * FROM `iwide_core_admin` WHERE `username` = 'huiyuan' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-24 13:43:58 | 1055 | /index.php | query | c5d3ac8fb07843e23ae755e637564d69be7373c8 | 0.038219 | 0.038244 | SELECT `role_name`, `role_label` FROM `iwide_core_admin_role` WHERE `role_id` = '1' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-24 13:43:58 | 1055 | /index.php | query | c5d3ac8fb07843e23ae755e637564d69be7373c8 | 0.033155 | 0.03318 | UPDATE `iwide_core_admin` SET `admin_id` = '282', `role_id` = '1', `inter_id` = 'a484619482', `entity_id` = '', `username` = 'huiyuan', `password` = '9547adda58a8ebc09c50ade0eecc887618b4e0e2', `nickname` = 'AI-会员君', `head_pic` = '', `parent_id` = '281', `email` = 'zhangyong@mofly.cn', `create_time` = '2017-01-23 10:13:20', `update_time` = '2017-07-24 13:43:58', `remark` = '', `status` = '1', `wx_code` = '', `is_wx_report` = '0', `is_em_report` = '0', `is_sms_report` = '0', `publics` = '' WHERE `admin_id` = '282' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-24 13:43:58 | 1055 | /index.php | query | c5d3ac8fb07843e23ae755e637564d69be7373c8 | 0.033707 | 0.033733 | SELECT * FROM `iwide_core_admin_role` WHERE `role_id` = '1'  LIMIT 1 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-24 13:43:59 | 1055 | /index.php | query | c5d3ac8fb07843e23ae755e637564d69be7373c8 | 0.036497 | 0.036526 | SHOW COLUMNS FROM `iwide_core_admin_log` | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-24 13:43:59 | 1055 | /index.php | query | c5d3ac8fb07843e23ae755e637564d69be7373c8 | 0.0271 | 0.027128 | INSERT INTO `iwide_core_admin_log` (`action_type`, `admin_id`, `action_info`, `action_controller`, `action_model`, `module`, `remote_ip`, `action_time`) VALUES ('1', '282', '登陆成功', 'Auth', '', 'privilege', '2130706433', '2017-07-24 13:43:58') | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-24 13:43:59 | 1055 | /index.php | query | c5d3ac8fb07843e23ae755e637564d69be7373c8 | 0.029828 | 0.029856 | SELECT `inter_id`, `name`, `run_status`, `arrearage_money`, `stop_service_time` FROM `iwide_publics` WHERE `inter_id` IN('a484619482') AND `run_status` IN('arrearage', 'stop') | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-24 13:44:00 | 1055 | /index.php | query | c5d3ac8fb07843e23ae755e637564d69be7373c8 | 0.037499 | 0.037543 | select count(*) as count from iwide_hotel_orders where inter_id='a484619482' and order_time>='1500825600' and isdel=0 and  status in(0,1,2,3,4,5,11) | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
